sample_id	sample_category	route_id	route_label	model	input_words	output_words	passes	leak_detected	copyleaks_ai_pct	copyleaks_ai_phrases	notes
ai-generic-essay	generic essay	current-chain	Current app chain	Generator: meta-llama/llama-3.3-70b-instruct → deepseek/deepseek-v4-flash	165	126	2	no			
ai-generic-essay	generic essay	qwen-free	Qwen direct	qwen/qwen3-next-80b-a3b-instruct:free	165	0	0	no			ERROR: OpenRouter 429: {"error":{"message":"Provider returned error","code":429,"metadata":{"raw":"qwen/qwen3-next-80b-a3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations","provider_name":"Venice","is_
ai-generic-essay	generic essay	deepseek-free	DeepSeek direct	deepseek/deepseek-v4-flash	165	113	1	no			
ai-generic-essay	generic essay	minimax-free	MiniMax direct	minimax/minimax-m2.5:free	165	141	1	no			
ai-generic-essay	generic essay	qwen-deepseek-chain	Qwen -> DeepSeek chain	qwen/qwen3-next-80b-a3b-instruct:free -> deepseek/deepseek-v4-flash	165	0	0	no			ERROR: OpenRouter 429: {"error":{"message":"Provider returned error","code":429,"metadata":{"raw":"qwen/qwen3-next-80b-a3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations","provider_name":"Venice","is_
ai-generic-essay	generic essay	deepseek-qwen-chain	DeepSeek -> Qwen chain	deepseek/deepseek-v4-flash -> qwen/qwen3-next-80b-a3b-instruct:free	165	0	0	no			ERROR: OpenRouter 429: {"error":{"message":"Provider returned error","code":429,"metadata":{"raw":"qwen/qwen3-next-80b-a3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations","provider_name":"Venice","is_
