sample_id	sample_category	route_id	route_label	model	input_words	output_words	passes	leak_detected	copyleaks_ai_pct	copyleaks_ai_phrases	notes
ai-generic-essay	generic essay	current-chain	Current app chain	Generator: meta-llama/llama-3.3-70b-instruct → deepseek/deepseek-v4-flash	165	166	2	no			
ai-generic-essay	generic essay	deepseek-free	DeepSeek direct	deepseek/deepseek-v4-flash	165	107	1	no			
ai-generic-essay	generic essay	minimax-free	MiniMax direct	minimax/minimax-m2.5:free	165	150	1	no			
